repository,stratum,method,k,recall_macro,recall_num,recall_den,precision_macro,precision_defined,fraction_mean,coverage,abstention,mrr,mean_list_len,positive,new_test_only,zero_test_touch,suite_mean
flyteorg/flyte,Go,H,1,0.4600,84,245,0.6885,122,0.0029,0.8905,0.1095,0.6789,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,H,3,0.6131,121,245,0.3784,122,0.0082,0.8905,0.1095,0.6789,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,H,5,0.6504,133,245,0.2917,122,0.0128,0.8905,0.1095,0.6789,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,H,10,0.7151,151,245,0.2295,122,0.0218,0.8905,0.1095,0.6789,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,HMAX,1,0.4393,80,245,0.6557,122,0.0029,0.8905,0.1095,0.6535,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,HMAX,3,0.5991,120,245,0.3757,122,0.0082,0.8905,0.1095,0.6535,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,HMAX,5,0.6467,133,245,0.2917,122,0.0128,0.8905,0.1095,0.6535,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,HMAX,10,0.7136,147,245,0.2262,122,0.0218,0.8905,0.1095,0.6535,13.0073,137,19,44,390.8950
flyteorg/flyte,Go,B0,1,0.0426,8,245,0.0584,137,0.0033,1.0000,0.0000,0.1199,156.4599,137,19,44,390.8950
flyteorg/flyte,Go,B0,3,0.0937,16,245,0.0389,137,0.0098,1.0000,0.0000,0.1199,156.4599,137,19,44,390.8950
flyteorg/flyte,Go,B0,5,0.1047,22,245,0.0321,137,0.0163,1.0000,0.0000,0.1199,156.4599,137,19,44,390.8950
flyteorg/flyte,Go,B0,10,0.1835,39,245,0.0285,137,0.0327,1.0000,0.0000,0.1199,156.4599,137,19,44,390.8950
flyteorg/flyte,Go,B1,1,0.5515,98,245,0.7206,136,0.0032,0.9927,0.0073,0.8003,97.7372,137,19,44,390.8950
flyteorg/flyte,Go,B1,3,0.7745,161,245,0.3946,136,0.0097,0.9927,0.0073,0.8003,97.7372,137,19,44,390.8950
flyteorg/flyte,Go,B1,5,0.8377,181,245,0.2662,136,0.0162,0.9927,0.0073,0.8003,97.7372,137,19,44,390.8950
flyteorg/flyte,Go,B1,10,0.8620,190,245,0.1434,136,0.0315,0.9927,0.0073,0.8003,97.7372,137,19,44,390.8950
LuckPerms/LuckPerms,Java,H,1,0.1034,3,64,0.1250,24,0.0156,0.8276,0.1724,0.2458,12.5172,29,11,160,45.5700
LuckPerms/LuckPerms,Java,H,3,0.2328,10,64,0.1736,24,0.0420,0.8276,0.1724,0.2458,12.5172,29,11,160,45.5700
LuckPerms/LuckPerms,Java,H,5,0.3241,16,64,0.1868,24,0.0654,0.8276,0.1724,0.2458,12.5172,29,11,160,45.5700
